Identifier,filename,youtubeid,title,creator,contributor,date,description,subject,location,referencedlocation,latitude,longitude,publisher,source,type,format,language,rights
MYA00001,P1010597.JPG,,Carmen Andi paints Lisa Warren's face with achiote.. / Carmen Andi pinta la cara de Lisa Warren con achiote.,"Andi, Carmen",,6/25/13,Carmen Andi paints Lisa Warren's face with achiote for protection while planting cassava. / Carmen Andi pinta la cara de Lisa Warren con achiote para protegerla cuando siembran yuku.,Andes-Amazon Field School;Manioc-Yuka-Lumu; ,,,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00002,P1010589.JPG,,Resting while planting manioc. / Descansar al plantar yuca. ,"Andi, Carmen;Cadena, Luisa;Dagua, Delicia;Swanson, Tod","Warren, Lisa (photographer)",6/25/13,"(l-r) Luisa Cadena, Tod Swanson, Delicia Dagua, and Carmen Andi sit to rest and prepare achiote while preparing a garden to plant manioc.",,,,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00007,IMG_2271.jpg,,Bélgica tends the fire,"Dagua Toquetón, Bélgica","Carney, Lisa Warren (photographer); Dagua Toquet√≥n, Benedicta Elodia",7/15/16,"Bélgica Dagua Toquet√≥n tends a fire where handmade pottery is being fired or is cooling near the fire. Photo was taken on the grounds of the Iyarina Lodge during a session of the Andes-Amazon Field school run by Dr. Tod Swanson. Bélgicaand her older sister, (Benedicta) Elodia Dagua Toquet√≥n were ceramic instructors, while Lisa (Warren) Carney was Teaching Assistant for the Amazonian Arts course. ",Clay;Pottery;Warmi Yachay;Women's knowledge;manga allpa;mukawa;Mukawa(drinking vessel),"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00008,IMG_3086.jpg,,Áviles Shiguango children at computer,"Carney, Lisa Warren",√Åviles Shiguango family (depicted),8/8/16,The children of the √Åviles Shiguango family and cousins gather around the family desktop at their home in Comunidad Yawari. Lisa (Warren) Carney is godmother to two of the children pictured. ,technology;computer;children;wawaguna,"Comunidad Yawari, Ecuador",,-0.892065604,-77.79718295,,,image,image/jpeg,,
MYA00015,2016-07-13 11.29.30.jpg,,Unpainted bird instrument and miniature mucawas,"Dagua Toquetón, Benedicta Elodia;Dagua Toquetón, Bélgica","Carney, Lisa Warren (photographer)",7/13/16,Ceramics that are not fully painted or yet put into the kiln. ,clay;pottery;manga allpa;Women's knowledge;warmi yachay,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00016,2016-07-13 11.29.34.jpg,,Catfish ceramic,"Dagua Toquetón, Benedicta Elodia","Carney, Lisa Warren (photographer)",7/13/16,"Ceramic in the form of a catfish, or bagri is painted but not yet hardened in the kiln fire.",clay;pottery;manga allpa;Women's knowledge;warmi yachay;bagri;catfish,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00017,2016-07-13 11.29.44.jpg,,Mukawa of boa surrounding eggs,"Dagua Toquetón, Benedicta Elodia","Carney, Lisa Warren (photographer)",7/13/16,"Mukawa, or drinking vessel with design of an anaconda coiled around edge, with eggs in the center. The vessel is painted but not yet hardened in the kiln fire.",clay;pottery;manga allpa;Women's knowledge;warmi yachay;anaconda;amarun,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00018,2016-07-14 16.30.49.jpg,,Pottery Making Implements,"Dagua Toquetón, Benedicta Elodia;Dagua Toquetón, Bélgica","Carney, Lisa Warren (photographer)",7/13/16,"Assorted implements for create pottery: two stones for polishing, a stick (possibly) for creating a paint brush, and a piece of gord for smoothing edges of wet ceramics.",clay;pottery;manga allpa;Women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00019,2016-07-14 16.31.07.jpg,,Paint brushes in black pigment,"Dagua Toquetón, Benedicta Elodia;Dagua Toquetón, Bélgica","Carney, Lisa Warren (photographer)",7/13/16,"Four fine paint brushes rest in black pigment. The sticks of the brushes are the size of a toothpick, and the brush itself is made from women's own hair. the length and narrow width of the brush allows for fine parellel lines that are characteristic of Kichwa pottery.",clay;pottery;manga allpa;Women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00020,2016-07-15 10.07.18.jpg,,Elodia applies gloss,"Dagua Toquetónn, Benedicta Elodia","Carney, Lisa Warren (photographer)",7/15/16,(Benedicta) Elodia Dagua Toquet√≥n applies a resin gloss to a minature mukawa that has just come out of the kiln fire.,clay;pottery;manga allpa;Women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00021,P1000926.JPG,,Bus comes to Iyarina Lodge,"Carney, Lisa Warren","Carney, Lisa Warren (photographer)",6/27/12,"A public bus approaches on the highway outside Iyarina Lodge that connects Tena and Ahuano, Ecuador.",Bus;highway,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00022,P1000934.JPG,,Iyarina lodge communal area,Andi Family,"Carney, Lisa Warren (photographer)",6/27/12,"Iyarina employee ""Ecuador"" clears table while Matt Swanson, Bryan Rupert, and two others sit in the common area where meals are served and classes held.",Iyarina Lodge;Kichwa building; thatched roof; longhouse,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00023,P1000940.JPG,,Lower level meeting area at Iyarina Lodge,Andi Family,"Carney, Lisa Warren (photographer)",6/27/12,"External photo of the smaller gathering area and fire pit at Iyarina Lodge, with traditional style thatched roofing.",Iyarina Lodge;Kichwa building; thatched roof,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00024,P1000953.JPG,,Cabin at Iyarina,Andi Family,"Carney, Lisa Warren (photographer)",6/27/12,External photo of a cabin at Iyarina Lodge built with thatched roof,Iyarina Lodge;Kichwa building; thatched roof,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00025,P1000960.JPG,,Water tanks behind dorms,Andi Family,"Carney, Lisa Warren (photographer)",6/27/12,Water tanks used for piped water in dorm buildings at the Iyarina Lodge. The water source is a distance stream upriver.,Iyarina Lodge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00026,P1000967.JPG,,View from dorms,Andi Family,"Carney, Lisa Warren (photographer)",6/27/12,View from the dorms farthest from the main meeting building at Iyarina Lodge,,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00027,P1000972.JPG,,View from fire pit area at Iyarina,,"Carney, Lisa Warren (photographer)",6/27/12,View of the R√≠o Napo from the fire area of the Iyarina Lodge.,Iyarina Lodge;Napo River,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
MYA00028,2015-07-01 14.56.47.jpg,,Cessna on Shell Landing Strip,"Carney, Lisa Warren","Carney, Lisa Warren (photographer)",7/1/15,"View of a cessna on the tarmat of the Shell, Ecuador airport. Photo taken on return trip from Sarayaku, Ecuador, which is only accessible by foot, canoe, or a small aircraft such as the one photographed.",airplane;Shell;Pastaza;Sarayaku,"Aeropuerto Shell, Shell, Ecuador",,-1.506655817,-78.05821471,,,image,image/jpeg,,
MYA00029,2015-07-01 14.55.08.jpg,,"View from Alas de Socorro plane near Shell, Ecuador",,"Carney, Lisa Warren (photographer)",7/1/15,"View from Alas de Socorro plane near Shell, Ecuador, taken on the return flight from Sarayaku, Ecuador. Notable is the deforestation allowing for the football (soccer) field, basketball court, houses, and agricultural activity.",deforestation;Sarayaku;Pastaza province,"Shell, Ecuador",,-1.506655817,-78.05821471,,,image,image/jpeg,,
